country,fert_rate,gdp,health_exp_per_cap,health_exp_pub,prim_ed_girls,mat_mort_ratio,population
Saudi Arabia,2.79225,707936120306.8187,2181.9168488866667,3.114480664433303,49.0342254638672,12.25,30728077.2
Senegal,5.104,14539554757.942959,101.04295282,2.2787125704961797,51.88107776641848,331.0,14551710.4
Serbia,1.45,41075643662.34174,1298.62668398,6.150193719073176,48.62535667419434,16.75,7129316.0
Seychelles,2.3499999999999996,1366581102.9885778,876.6314531633334,3.4136115716699535,49.52373313903811,,91541.4
Sierra Leone,4.6905,4331603911.88869,207.62576662666666,1.8531119430147698,50.09829076131183,1435.0,7080111.8
Singapore,1.2425,298724394241.092,3645.6838765566667,1.7638939020802633,,10.75,5464721.6
Sint Maarten (Dutch part),,,,,49.5085506439209,,37552.2
Slovak Republic,1.3550000000000002,93894473474.03915,2107.9176563833335,5.768967485963937,48.521589279174826,6.0,5418425.2
Slovenia,1.5725,46048862678.17398,2644.7762984533333,6.698656470408779,48.566329956054695,8.75,2061493.6
Small states,2.9912078411982024,478920755739.33575,935.5393305628755,3.0571655016942336,48.70766957600913,280.25,38249225.2
Solomon Islands,3.9997500000000006,1114534615.886654,111.67970298333334,4.908624181766517,47.98303031921385,120.0,575489.8
Somalia,6.514500000000001,5785250000.0,,,,762.75,13527075.0
South Africa,2.37525,345209888495.274,1123.1426561266667,4.241441047099456,48.51629765828451,143.75,54177209.42170143
South Asia,2.5825241850612404,2566433183543.124,212.99273713711202,1.2800643944029,48.68004099527997,194.25,1721667006.8
South Asia (IDA & IBRD),2.5825241850612404,2566433183543.124,212.99273713711202,1.2800643944029,48.68004099527997,194.25,1721667006.8
South Sudan,5.066,11480938596.095085,58.56575184,0.9919316383920521,40.879081726074205,827.5,11527917.0
Spain,1.3075,1299724261190.3462,2963.8328245800003,6.545739104256701,48.722230911254876,5.0,46553127.6
Sri Lanka,2.09775,76808505732.53944,338.1849943666667,1.7620389637586502,49.2019500732422,31.25,20790000.0
St. Kitts and Nevis,,832755970.3703701,1212.8796413166667,2.2345027732406,49.805050849914544,,53721.6
St. Lucia,1.902,1362563866.666668,798.3014489400001,3.7808934478298064,48.5907726287842,49.0,176427.4
St. Martin (French part),1.8125,,,,,,31491.2
St. Vincent and the Grenadines,1.986,730106762.962963,775.8033855500001,4.3657566491905735,48.536415100097656,45.75,109420.6
Sub-Saharan Africa,5.009765625141262,1635013227223.978,195.00021777272636,2.4404232158155765,47.609432220459006,566.75,979225765.2217016
Sub-Saharan Africa (IDA & IBRD),5.00976562514126,1635013227223.978,195.00021777272636,2.4404232158155765,47.609432220459006,566.75,979225765.2217016
